OID_,Join_Count,TARGET_FID,FID_1,STATEFP10,PLACEFP10,PLACENS10,GEOID10,NAME10,NAMELSAD10,STATEFP,COUNTYFP,COUNTYNS,GEOID,COUNTY_NAME
536,1,535,536,06,59506,02409136,0659506,Rancho Murieta,Rancho Murieta CDP,06,067,00277298,06067,Sacramento
537,1,536,537,06,62000,02410965,0662000,Riverside,Riverside city,06,065,00277297,06065,Riverside
538,1,537,538,06,68378,02411805,0668378,San Ramon,San Ramon city,06,013,01675903,06013,Contra Costa
539,1,538,539,06,68294,02411801,0668294,San Pablo,San Pablo city,06,013,01675903,06013,Contra Costa
540,1,539,540,06,59500,02411515,0659500,Rancho Mirage,Rancho Mirage city,06,065,00277297,06065,Riverside
541,1,540,541,06,60942,02409175,0660942,Rio Linda,Rio Linda CDP,06,067,00277298,06067,Sacramento
542,1,541,542,06,56700,02411403,0656700,Perris,Perris city,06,065,00277297,06065,Riverside
543,1,542,543,06,60620,02410939,0660620,Richmond,Richmond city,06,013,01675903,06013,Contra Costa
544,1,543,544,06,55254,02411357,0655254,Palm Springs,Palm Springs city,06,065,00277297,06065,Riverside
545,1,544,545,06,62910,02409213,0662910,Rosemont,Rosemont CDP,06,067,00277298,06067,Sacramento
546,1,545,546,06,55184,02411356,0655184,Palm Desert,Palm Desert city,06,065,00277297,06065,Riverside
547,1,546,547,06,51560,02411265,0651560,Norco,Norco city,06,065,00277297,06065,Riverside
548,1,547,548,06,57764,02411439,0657764,Pleasant Hill,Pleasant Hill city,06,013,01675903,06013,Contra Costa
549,1,548,549,06,82852,02409518,0682852,Vineyard,Vineyard CDP,06,067,00277298,06067,Sacramento
550,1,549,550,06,50076,02411199,0650076,Murrieta,Murrieta city,06,065,00277297,06065,Riverside
551,1,550,551,06,57456,02411430,0657456,Pittsburg,Pittsburg city,06,013,01675903,06013,Contra Costa
552,1,551,552,06,49270,02411159,0649270,Moreno Valley,Moreno Valley city,06,065,00277297,06065,Riverside
553,1,552,553,06,83374,02409526,0683374,Walnut Grove,Walnut Grove CDP,06,067,00277298,06067,Sacramento
554,1,553,554,06,40354,02411582,0640354,La Quinta,La Quinta city,06,065,00277297,06065,Riverside
555,1,554,555,06,57288,02411428,0657288,Pinole,Pinole city,06,013,01675903,06013,Contra Costa
556,1,555,556,06,85880,02409604,0685880,Wilton,Wilton CDP,06,067,00277298,06067,Sacramento
557,1,556,557,06,39486,02411601,0639486,Lake Elsinore,Lake Elsinore city,06,065,00277297,06065,Riverside
558,1,557,558,06,13854,02582975,0613854,Clay,Clay CDP,06,067,00277298,06067,Sacramento
559,1,558,559,06,36448,02410101,0636448,Indio,Indio city,06,065,00277297,06065,Riverside
560,1,559,560,06,54232,02411334,0654232,Orinda,Orinda city,06,013,01675903,06013,Contra Costa
561,1,560,561,06,36434,02410100,0636434,Indian Wells,Indian Wells city,06,065,00277297,06065,Riverside
562,1,561,562,06,33294,02583034,0633294,Herald,Herald CDP,06,067,00277298,06067,Sacramento
563,1,562,563,06,53070,02411294,0653070,Oakley,Oakley city,06,013,01675903,06013,Contra Costa
564,1,563,564,06,33182,02410738,0633182,Hemet,Hemet city,06,065,00277297,06065,Riverside
565,1,564,565,06,16714,02582985,0616714,Courtland,Courtland CDP,06,067,00277298,06067,Sacramento
566,1,565,566,06,18996,02410328,0618996,Desert Hot Springs,Desert Hot Springs city,06,065,00277297,06065,Riverside
567,1,566,567,06,25506,02583017,0625506,Franklin,Franklin CDP,06,067,00277298,06067,Sacramento
568,1,567,568,06,49187,02413013,0649187,Moraga,Moraga town,06,013,01675903,06013,Contra Costa
569,1,568,569,06,16350,02410232,0616350,Corona,Corona city,06,065,00277297,06065,Riverside
570,1,569,570,06,25590,02583018,0625590,Freeport,Freeport CDP,06,067,00277298,06067,Sacramento
571,1,570,571,06,27130,02583020,0627130,Fruitridge Pocket,Fruitridge Pocket CDP,06,067,00277298,06067,Sacramento
572,1,571,572,06,46114,02411045,0646114,Martinez,Martinez city,06,013,01675903,06013,Contra Costa
573,1,572,573,06,55800,02583107,0655800,Parkway,Parkway CDP,06,067,00277298,06067,Sacramento
574,1,573,574,06,39122,02411591,0639122,Lafayette,Lafayette city,06,013,01675903,06013,Contra Costa
575,1,574,575,06,41142,02583055,0641142,Lemon Hill,Lemon Hill CDP,06,067,00277298,06067,Sacramento
576,1,575,576,06,33308,02410746,0633308,Hercules,Hercules city,06,013,01675903,06013,Contra Costa
577,1,576,577,06,34484,02583037,0634484,Hood,Hood CDP,06,067,00277298,06067,Sacramento
578,1,577,578,06,21796,02410410,0621796,El Cerrito,El Cerrito city,06,013,01675903,06013,Contra Costa
579,1,578,579,06,46226,02583073,0646226,Mather,Mather CDP,06,067,00277298,06067,Sacramento
580,1,579,580,06,17988,02412403,0617988,Danville,Danville town,06,013,01675903,06013,Contra Costa
581,1,580,581,06,16000,02410214,0616000,Concord,Concord city,06,013,01675903,06013,Contra Costa
582,1,581,582,06,44760,02583067,0644760,McClellan Park,McClellan Park CDP,06,067,00277298,06067,Sacramento
583,1,582,583,06,22524,02583010,0622524,Elverta,Elverta CDP,06,067,00277298,06067,Sacramento
584,1,583,584,06,13882,02409474,0613882,Clayton,Clayton city,06,013,01675903,06013,Contra Costa
585,1,584,585,06,08142,02409902,0608142,Brentwood,Brentwood city,06,013,01675903,06013,Contra Costa
586,1,585,586,06,02210,02582934,0602210,Antelope,Antelope CDP,06,067,00277298,06067,Sacramento
587,1,586,587,06,78638,02409316,0678638,Three Rivers,Three Rivers CDP,06,107,00277318,06107,Tulare
588,1,587,588,06,02252,02409715,0602252,Antioch,Antioch city,06,013,01675903,06013,Contra Costa
589,1,588,589,06,78750,02409325,0678750,Tipton,Tipton CDP,06,107,00277318,06107,Tulare
590,1,589,590,06,07379,02407879,0607379,Bonadelle Ranchos-Madera Ranchos,Bonadelle Ranchos-Madera Ranchos CDP,06,039,00277284,06039,Madera
591,1,590,591,06,80280,02409348,0680280,Traver,Traver CDP,06,107,00277318,06107,Tulare
592,1,591,592,06,78582,02412065,0678582,Thousand Oaks,Thousand Oaks city,06,111,00277320,06111,Ventura
593,1,592,593,06,72016,02411904,0672016,Simi Valley,Simi Valley city,06,111,00277320,06111,Ventura
594,1,593,594,06,86482,02409628,0686482,Woodville,Woodville CDP,06,107,00277318,06107,Tulare
595,1,594,595,06,01010,02585402,0601010,Allensworth,Allensworth CDP,06,107,00277318,06107,Tulare
596,1,595,596,06,45050,02408158,0645050,Madera Acres,Madera Acres CDP,06,039,00277284,06039,Madera
597,1,596,597,06,09822,02585404,0609822,California Hot Springs,California Hot Springs CDP,06,107,00277318,06107,Tulare
598,1,597,598,06,70042,02411826,0670042,Santa Paula,Santa Paula city,06,111,00277320,06111,Ventura
599,1,598,599,06,10494,02585405,0610494,Camp Nelson,Camp Nelson CDP,06,107,00277318,06107,Tulare
600,1,599,600,06,52764,02408967,0652764,Oakhurst,Oakhurst CDP,06,039,00277284,06039,Madera
601,1,600,601,06,65042,02411779,0665042,San Buenaventura (Ventura),San Buenaventura (Ventura) city,06,111,00277320,06111,Ventura
602,1,601,602,06,12314,02585406,0612314,Cedar Slope,Cedar Slope CDP,06,107,00277318,06107,Tulare
603,1,602,603,06,55751,02409034,0655751,Parksdale,Parksdale CDP,06,039,00277284,06039,Madera
604,1,603,604,06,58296,02411462,0658296,Port Hueneme,Port Hueneme city,06,111,00277320,06111,Ventura
605,1,604,605,06,18450,02585407,0618450,Delft Colony,Delft Colony CDP,06,107,00277318,06107,Tulare
606,1,605,606,06,55842,02409036,0655842,Parkwood,Parkwood CDP,06,039,00277284,06039,Madera
607,1,606,607,06,86878,02409637,0686878,Yosemite Lakes,Yosemite Lakes CDP,06,039,00277284,06039,Madera
608,1,607,608,06,54652,02411347,0654652,Oxnard,Oxnard city,06,111,00277320,06111,Ventura
609,1,608,609,06,53476,02411308,0653476,Ojai,Ojai city,06,111,00277320,06111,Ventura
610,1,609,610,06,23210,02583011,0623210,Fairmead,Fairmead CDP,06,039,00277284,06039,Madera
611,1,610,611,06,49138,02411157,0649138,Moorpark,Moorpark city,06,111,00277320,06111,Ventura
612,1,611,612,06,21210,02585408,0621210,East Tulare Villa,East Tulare Villa CDP,06,107,00277318,06107,Tulare
613,1,612,613,06,40872,02628749,0640872,La Vina,La Vina CDP,06,039,00277284,06039,Madera
614,1,613,614,06,62625,02628784,0662625,Rolling Hills,Rolling Hills CDP,06,039,00277284,06039,Madera
615,1,614,615,06,24092,02410504,0624092,Fillmore,Fillmore city,06,111,00277320,06111,Ventura
616,1,615,616,06,32324,02585423,0632324,Hartland,Hartland CDP,06,107,00277318,06107,Tulare
617,1,616,617,06,51470,02628765,0651470,Nipinnawasee,Nipinnawasee CDP,06,039,00277284,06039,Madera
618,1,617,618,06,22360,02585422,0622360,El Rancho,El Rancho CDP,06,107,00277318,06107,Tulare
619,1,618,619,06,10046,02409966,0610046,Camarillo,Camarillo city,06,111,00277320,06111,Ventura
620,1,619,620,06,00478,02628702,0600478,Ahwahnee,Ahwahnee CDP,06,039,00277284,06039,Madera
621,1,620,621,06,38076,02585427,0638076,Kennedy Meadows,Kennedy Meadows CDP,06,107,00277318,06107,Tulare
622,1,621,622,06,72674,02411930,0672674,Sonora,Sonora city,06,109,00277319,06109,Tuolumne
623,1,622,623,06,14288,02628719,0614288,Coarsegold,Coarsegold CDP,06,039,00277284,06039,Madera
624,1,623,624,06,44364,02410891,0644364,Loyalton,Loyalton city,06,091,00277310,06091,Sierra
625,1,624,625,06,41656,02585429,0641656,Lindcove,Lindcove CDP,06,107,00277318,06107,Tulare
626,1,625,626,06,39710,02411609,0639710,Lakeport,Lakeport city,06,033,00277281,06033,Lake
627,1,626,627,06,46223,02585433,0646223,Matheny,Matheny CDP,06,107,00277318,06107,Tulare
628,1,627,628,06,04198,02628709,0604198,Bass Lake,Bass Lake CDP,06,039,00277284,06039,Madera
629,1,628,629,06,44770,02585431,0644770,McClenney Tract,McClenney Tract CDP,06,107,00277318,06107,Tulare
630,1,629,630,06,13945,02409479,0613945,Clearlake,Clearlake city,06,033,00277281,06033,Lake
631,1,630,631,06,04576,02407813,0604576,Beale AFB,Beale AFB CDP,06,115,00277322,06115,Yuba
632,1,631,632,06,48676,02585434,0648676,Monson,Monson CDP,06,107,00277318,06107,Tulare
